Neighborhood,Property Score,Capital Projects Score,Art Score,Overall Score(AVG)
Central Business District,80.11,61.59,27,56.23
Strip District,96.73,46.96,2,48.56
Squirrel Hill North,85.65,48.71,2,45.45
Greenfield,19.95,97.91,3,40.29
South Side Flats,37.64,67.88,10,38.51
Allegheny West,45.28,51.13,1,32.47
Highland Park,38.19,45.36,10,31.18
Squirrel Hill South,55.07,15.20,22,30.76
California-Kirkbride,90.81,0.53,0,30.45
Shadyside,69.13,11.34,6,28.83
Point Breeze,61.03,0.64,3,21.56
South Side Slopes,16.52,43.73,3,21.08
Homewood South,28.36,33.31,0,20.55
Central Northside,43.19,17.56,0,20.25
North Oakland,58.01,0.86,1,19.96
Elliott,7.56,50.10,2,19.89
Swisshelm Park,20.59,30.75,1,17.44
Central Oakland,25.14,20.42,5,16.85
Duquesne Heights,32.18,12.49,3,15.89
Beechview,13.02,22.07,8,14.36
Banksville,19.15,22.31,0,13.82
Spring Hill-City View,8.63,27.41,4,13.35
Lower Lawrenceville,28.34,6.34,5,13.23
Mount Washington,22.96,13.48,2,12.81
Troy Hill,19.95,16.20,1,12.38
Bloomfield,23.40,12.61,1,12.34
West End,29.82,4.17,2,11.99
Allentown,28.62,4.81,2,11.81
Perry North,16.43,16.98,2,11.80
East Liberty,22.23,11.01,1,11.41
Morningside,22.01,12.11,0,11.37
Carrick,11.71,18.20,3,10.97
Central Lawrenceville,27.96,1.95,2,10.64
Crawford-Roberts,23.64,5.80,1,10.15
Lincoln-Lemington-Belmar,3.88,23.61,2,9.83
East Allegheny,22.45,4.72,2,9.72
Knoxville,6.12,21.76,1,9.63
Brighton Heights,18.20,3.86,5,9.02
Overbrook,14.13,11.63,1,8.92
Brookline,16.03,8.59,2,8.87
Beltzhoover,3.04,18.85,3,8.30
South Oakland,18.44,5.76,0,8.07
Point Breeze North,23.14,0.94,0,8.03
Fineview,10.09,13.58,0,7.89
Perry South,10.57,12.08,1,7.88
Manchester,19.79,1.60,1,7.46
Stanton Heights,17.82,3.00,1,7.28
Upper Lawrenceville,20.51,0.06,1,7.19
Upper Hill,8.68,10.74,2,7.14
Polish Hill,17.18,2.63,1,6.94
Westwood,16.91,2.44,0,6.45
Crafton Heights,14.33,2.81,1,6.05
Hazelwood,8.33,4.92,4,5.75
Sheraden,10.27,4.58,1,5.28
Windgap,14.76,0.64,0,5.13
Lincoln Place,11.11,4.08,0,5.06
Larimer,4.81,9.98,0,4.93
Garfield,11.26,0.08,2,4.45
Hays,4.61,7.50,1,4.37
Marshall-Shadeland,9.77,3.27,0,4.34
Mount Oliver Borough,10.01,1.88,0,3.96
Terrace Village,10.35,1.37,0,3.91
Middle Hill,6.90,2.53,0,3.14
Arlington,7.43,1.88,0,3.10
Spring Garden,6.00,0.27,2,2.76
Glen Hazel,7.46,0.05,0,2.51
Mt. Oliver,6.43,0.75,0,2.39
Homewood North,5.43,1.57,0,2.33
East Hills,5.08,0.04,1,2.04
Fairywood,5.79,0.04,0,1.94
Esplen,4.13,0.31,1,1.81
Bedford Dwellings,2.40,2.11,0,1.50
